"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.10.2023","5,0153","4,9879","5,0194","4,9313","","0,58%"
"26.10.2023","4,9861","4,9963","5,0196","4,9861","","-0,17%"
"25.10.2023","4,9947","4,9928","5,0201","4,9853","","0,08%"
"24.10.2023","4,9908","5,0142","5,0312","4,9892","","-0,41%"
"23.10.2023","5,0112","5,0328","5,0545","4,9953","","-0,40%"
"20.10.2023","5,0312","5,0648","5,0990","5,0246","","-0,66%"
"19.10.2023","5,0646","5,0598","5,0838","5,0188","","0,11%"
"18.10.2023","5,0591","5,0415","5,0762","5,0278","","0,35%"
"17.10.2023","5,0414","5,0390","5,0659","5,0093","","0,07%"
"16.10.2023","5,0377","5,0532","5,0725","5,0315","","-0,83%"
"13.10.2023","5,0801","5,0504","5,1031","5,0448","","0,68%"
"12.10.2023","5,0460","5,0501","5,0501","5,0449","","-0,05%"
"11.10.2023","5,0483","5,0518","5,0714","5,0280","","-0,07%"
"10.10.2023","5,0516","5,1353","5,1400","5,0471","","-1,63%"
"09.10.2023","5,1355","5,1615","5,1820","5,1210","","-0,20%"
"06.10.2023","5,1457","5,1668","5,2210","5,1424","","-0,39%"
"05.10.2023","5,1658","5,1550","5,1884","5,1494","","0,19%"
"04.10.2023","5,1562","5,1673","5,1789","5,1231","","-0,21%"
"03.10.2023","5,1669","5,0637","5,1739","5,0637","","2,09%"
"02.10.2023","5,0610","5,0308","5,0810","5,0308","","0,58%"
"29.09.2023","5,0320","5,0335","5,0406","4,9876","","-0,02%"
"28.09.2023","5,0331","5,0436","5,0702","5,0140","","-0,19%"
"27.09.2023","5,0425","4,9911","5,0800","4,9864","","1,06%"
"26.09.2023","4,9898","4,9684","4,9942","4,9519","","0,44%"
"25.09.2023","4,9678","4,9320","4,9759","4,9320","","0,66%"
"22.09.2023","4,9351","4,9367","4,9381","4,9033","","0,00%"
"21.09.2023","4,9351","4,8802","4,9396","4,8795","","1,13%"
"20.09.2023","4,8801","4,8670","4,8840","4,8422","","0,26%"
"19.09.2023","4,8673","4,8553","4,8761","4,8390","","0,24%"
"18.09.2023","4,8556","4,8685","4,8784","4,8408","","-0,22%"
"15.09.2023","4,8663","4,8682","4,8802","4,8584","","-0,01%"
"14.09.2023","4,8668","4,9167","4,9214","4,8620","","-0,99%"
"13.09.2023","4,9153","4,9474","4,9683","4,8945","","-0,64%"
"12.09.2023","4,9470","4,9307","4,9690","4,9307","","0,33%"
"11.09.2023","4,9307","4,9845","4,9867","4,9202","","-1,15%"
