Date,cambio,moeda
2023-10-27,5.0153,BRL
2023-10-26,4.9861,BRL
2023-10-25,4.9947,BRL
2023-10-24,4.9908,BRL
2023-10-23,5.0112,BRL
2023-10-20,5.0312,BRL
2023-10-19,5.0646,BRL
2023-10-18,5.0591,BRL
2023-10-17,5.0414,BRL
2023-10-16,5.0377,BRL
2023-10-13,5.0801,BRL
2023-10-12,5.046,BRL
2023-10-11,5.0483,BRL
2023-10-10,5.0516,BRL
2023-10-09,5.1355,BRL
2023-10-06,5.1457,BRL
2023-10-05,5.1658,BRL
2023-10-04,5.1562,BRL
2023-10-03,5.1669,BRL
2023-10-02,5.061,BRL
2023-09-29,5.032,BRL
2023-09-28,5.0331,BRL
2023-09-27,5.0425,BRL
2023-09-26,4.9898,BRL
2023-09-25,4.9678,BRL
2023-09-22,4.9351,BRL
2023-09-21,4.9351,BRL
2023-09-20,4.8801,BRL
2023-09-19,4.8673,BRL
2023-09-18,4.8556,BRL
2023-09-15,4.8663,BRL
2023-09-14,4.8668,BRL
2023-09-13,4.9153,BRL
2023-09-12,4.947,BRL
2023-09-11,4.9307,BRL
2023-09-08,4.9882,BRL
2023-09-07,4.9767,BRL
2023-09-06,4.9784,BRL
2023-09-05,4.9671,BRL
2023-09-04,4.9376,BRL
2023-09-01,4.9463,BRL
2023-08-31,4.9544,BRL
2023-08-30,4.889,BRL
2023-08-29,4.8523,BRL
2023-08-28,4.8731,BRL
2023-08-25,4.8711,BRL
2023-08-24,4.8802,BRL
2023-08-23,4.8572,BRL
2023-08-22,4.9386,BRL
2023-08-21,4.9793,BRL
2023-08-18,4.9694,BRL
2023-08-17,4.9758,BRL
2023-08-16,4.9879,BRL
2023-08-15,4.9845,BRL
2023-08-14,4.9615,BRL
2023-08-11,4.9048,BRL
2023-08-10,4.8924,BRL
2023-08-09,4.902,BRL
2023-08-08,4.8996,BRL
2023-08-07,4.8999,BRL
2023-08-04,4.8733,BRL
2023-08-03,4.917,BRL
2023-08-02,4.812,BRL
2023-08-01,4.7911,BRL
2023-07-31,4.7241,BRL
2023-07-28,4.7336,BRL
2023-07-27,4.7424,BRL
2023-07-26,4.7364,BRL
2023-07-25,4.7498,BRL
2023-07-24,4.7271,BRL
2023-07-21,4.7795,BRL
2023-07-20,4.798,BRL
2023-07-19,4.7909,BRL
2023-07-18,4.8105,BRL
2023-07-17,4.8066,BRL
2023-07-14,4.7894,BRL
2023-07-13,4.7971,BRL
2023-07-12,4.8184,BRL
2023-07-11,4.8538,BRL
2023-07-10,4.8978,BRL
2023-07-07,4.872,BRL
2023-07-06,4.9193,BRL
2023-07-05,4.8478,BRL
2023-07-04,4.8408,BRL
2023-07-03,4.8077,BRL
2023-06-30,4.786,BRL
2023-06-29,4.8553,BRL
2023-06-28,4.8506,BRL
2023-06-27,4.8103,BRL
2023-06-26,4.7675,BRL
2023-06-23,4.7864,BRL
2023-06-22,4.7689,BRL
2023-06-21,4.763,BRL
2023-06-20,4.7902,BRL
2023-06-19,4.7772,BRL
2023-06-16,4.8199,BRL
2023-06-15,4.8102,BRL
2023-06-14,4.8146,BRL
2023-06-13,4.8622,BRL
2023-06-12,4.8613,BRL
2023-06-09,4.8791,BRL
2023-06-07,4.9235,BRL
2023-06-06,4.9125,BRL
2023-06-05,4.9289,BRL
2023-06-02,4.9571,BRL
2023-06-01,5.014,BRL
2023-05-31,5.0574,BRL
2023-05-30,5.0357,BRL
2023-05-29,5.0171,BRL
2023-05-26,4.9939,BRL
2023-05-25,5.0356,BRL
2023-05-24,4.9619,BRL
2023-05-23,4.9714,BRL
2023-05-22,4.9667,BRL
2023-05-19,4.9981,BRL
2023-05-18,4.9652,BRL
2023-05-17,4.9396,BRL
2023-05-16,4.9402,BRL
2023-05-15,4.8904,BRL
2023-05-12,4.9195,BRL
2023-05-11,4.9295,BRL
2023-05-10,4.9424,BRL
2023-05-09,4.9862,BRL
2023-05-08,5.0097,BRL
2023-05-05,4.9518,BRL
2023-05-04,4.9822,BRL
2023-05-03,4.9949,BRL
2023-05-02,5.0387,BRL
2023-05-01,4.9889,BRL
2023-04-28,4.9865,BRL
2023-04-27,4.9771,BRL
2023-04-26,5.0435,BRL
2023-04-25,5.0497,BRL
2023-04-24,5.0337,BRL
2023-04-21,5.0486,BRL
2023-04-20,5.0486,BRL
2023-04-19,5.0753,BRL
2023-04-18,4.984,BRL
2023-04-17,4.9413,BRL
2023-04-14,4.9096,BRL
2023-04-13,4.9272,BRL
2023-04-12,4.9181,BRL
2023-04-11,5.0054,BRL
2023-04-10,5.0655,BRL
2023-04-07,5.0549,BRL
2023-04-06,5.057,BRL
2023-04-05,5.034,BRL
2023-04-04,5.0716,BRL
2023-04-03,5.0632,BRL
2023-03-31,5.0631,BRL
2023-03-30,5.0938,BRL
2023-03-29,5.1356,BRL
2023-03-28,5.1655,BRL
2023-03-27,5.1983,BRL
2023-03-24,5.2463,BRL
2023-03-23,5.2973,BRL
2023-03-22,5.2369,BRL
2023-03-21,5.243,BRL
2023-03-20,5.2368,BRL
2023-03-17,5.2778,BRL
2023-03-16,5.2285,BRL
2023-03-15,5.2882,BRL
2023-03-14,5.2543,BRL
2023-03-13,5.2459,BRL
2023-03-10,5.2166,BRL
2023-03-09,5.1645,BRL
2023-03-08,5.1453,BRL
2023-03-07,5.191,BRL
2023-03-06,5.1534,BRL
2023-03-03,5.1956,BRL
2023-03-02,5.2006,BRL
